N|FIPS|ADM3|ADM2|ADM1|KEY|LAT|LON|T|01/22/2020|01/23/2020|01/24/2020|01/25/2020|01/26/2020|01/27/2020|01/28/2020|01/29/2020|01/30/2020|01/31/2020|02/01/2020|02/02/2020|02/03/2020|02/04/2020|02/05/2020|02/06/2020|02/07/2020|02/08/2020|02/09/2020|02/10/2020|02/11/2020|02/12/2020|02/13/2020|02/14/2020|02/15/2020|02/16/2020|02/17/2020|02/18/2020|02/19/2020|02/20/2020|02/21/2020|02/22/2020|02/23/2020|02/24/2020|02/25/2020|02/26/2020|02/27/2020|02/28/2020|02/29/2020|03/01/2020|03/02/2020|03/03/2020|03/04/2020|03/05/2020|03/06/2020|03/07/2020|03/08/2020|03/09/2020|03/10/2020|03/11/2020|03/12/2020|03/13/2020|03/14/2020|03/15/2020|03/16/2020|03/17/2020|03/18/2020|03/19/2020|03/20/2020|03/21/2020|03/22/2020|03/23/2020|03/24/2020|03/25/2020|03/26/2020|03/27/2020|03/28/2020|03/29/2020|03/30/2020|03/31/2020|04/01/2020|04/02/2020|04/03/2020|04/04/2020|04/05/2020|04/06/2020|04/07/2020|04/08/2020|04/09/2020|04/10/2020|04/11/2020|04/12/2020|04/13/2020|04/14/2020|04/15/2020|04/16/2020|04/17/2020|04/18/2020|04/19/2020|04/20/2020|04/21/2020|04/22/2020|04/23/2020
799|01041|Crenshaw|Alabama|US|Crenshaw, Alabama, US|31.732826|-86.319222|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|2|2|2|2|2|2|2|2|3|3|3|3|5|5|6|6|6|6|6|8
800|01041|Crenshaw|Alabama|US|Crenshaw, Alabama, US|31.732826|-86.319222|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
801|01041|Crenshaw|Alabama|US|Crenshaw, Alabama, US|31.732826|-86.319222|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
802|01043|Cullman|Alabama|US|Cullman, Alabama, US|34.131923|-86.869267|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|3|4|6|6|7|7|8|8|9|9|15|15|15|20|21|22|22|30|31|39|39|40|40|40|53|42|42|44|45|44|44
803|01043|Cullman|Alabama|US|Cullman, Alabama, US|34.131923|-86.869267|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|0
804|01043|Cullman|Alabama|US|Cullman, Alabama, US|34.131923|-86.869267|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
805|01045|Dale|Alabama|US|Dale, Alabama, US|31.430654|-85.609476|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|2|4|4|4|6|6|6|8|12|12|12|14|14|17|20|21|21|22|22
806|01045|Dale|Alabama|US|Dale, Alabama, US|31.430654|-85.609476|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
807|01045|Dale|Alabama|US|Dale, Alabama, US|31.430654|-85.609476|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
808|01047|Dallas|Alabama|US|Dallas, Alabama, US|32.33354|-87.114356|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|2|2|2|2|2|4|7|7|7|7|7|7|7|11|10|14|14|17|18|21|21|22|25|26|29|30|29
